
STEAK,270,Meat,Launch,LG,0,240,1,19,78,58,279,0,0,25,2.4,1
TACO,226,Meat,Launch,LG,0,240,1,13,28,397,209,20,0.9,9,1.2,0
RIBS,351,Meat,Launch,G,0,24,1,28,84,64,305,0,0,23,2.4,1
PORKCHOPS,230,Meat,Launch,LG,0,240,1,14,78,74,315,0,0,24,0.9,1
BEEFPORKDISH,238,Meat,Launch,LG,0,240,1,21,148,1007,931,15.5,5.6,47.3,1.2,1
LIVER,164,Meat,Launch,LG,0,240,1,4.4,355,49,150,3.8,0,26,17.9,1
VARIETYMEAT,226,Meat,Launch,LG,0,240,1,10.2,210,134,205,0,4.1,12.6,1.7,1
VEALLAMBGAME,231,Meat,Launch,LG,0,240,1,10,90,60,400,0,0,30,0,1
FRIEDORBREADEDCHICKEN,279,Chicken,Launch,G,0,24,1,18.8,55,574,261,16.3,0.9,15.6,0.8,0
ROASTCHICKEN,223,Chicken,Launch,G,0,24,1,13,76,73,211,0,0,24,4.2,1
OTHERCHICKENDISH,239,Chicken,Launch,LG,0,240,1,14,88,82,223,0,0,27,1.3,1
OTHERSNACKS,300,Other,Dinner,G,1,2345,0,13,0,278,168,73,22,5,6,0
OYSTERS,198,Fish,Launch,LG,0,240,1,13,71,417,244,12,0,9,7,1
SHELLFISH,99,Fish,Launch,LG,0,240,1,0.3,189,111,259,0.2,0,24,0.5,1
TUNA,130,Fish,Breakfast/Dinner,LG,0,240,1,0.6,47,54,527,0,0,29,3,1
SALMON,208,Fish,Launch,LG,0,240,1,13,55,59,363,0,0,20,0.3,1
FRIEDORBREADEDFISH,213,Fish,Launch,G,0,24,1,11.1,76,411,365,8.3,0.8,19.1,0.93,0
OTHERFISH,128,Fish,Launch,LG,0,240,1,2.7,57,56,380,0,0,26,4,1
PEANUTBUTTER,588,Other,Breakfast/Dinner,G,1,2345,0,50,0,17,649,20,9,25,1.9,0
WALNUTS,654,Other,Launch/Dinner,G,1,2345,0,65,0,2,441,14,2.6,15,2.9,1
OTHERNUTS,607,Other,Launch,G,1,2345,0,54,0,273,632,21,4.2,20,2.6,0
PROTEINBARS,414,Other,Dinner,G,1,2345,0,13,6,238,188,51,29,25,10,0
CEREALBARS,379,Other,Launch/Dinner,LG,1,123450,0,7,0,6,362,68,1,13,4.3,0
POPCORN,374,Other,Dinner,LG,1,123450,0,4.3,0,7,274,74,0.9,11,3,0
WHOLEGRAINCRACKERS,427,Other,Dinner,LG,1,123450,0,14,0,704,345,70,1.2,11,3.3,0
OTHERCRACKERS,504,Other,Dinner,G,1,2345,0,26,0,748,111,61,7,7,3.8,0
CORNCHIPS,518,Other,Dinner,G,1,2345,0,28,0,548,135,63,1.2,6,1.3,0
OTHERCHIPS,536,Other,Dinner,G,1,2345,0,35,0,8,1275,53,0.2,7,1.6,0
DONUTS,452,Dessert,Launch/Dinner,G,1,2345,0,25,19,326,201,51,27,5,4,0
CAKES,305,Dessert,Launch,G,1,2345,0,1.1,0,174,111,74,43,5,2.8,0
COOKIES,502,Dessert,Launch/Dinner,G,1,2345,0,24,20,524,100,65,15,6,2.7,0
PUMPKINPIE,243,Dessert,Launch,LG,1,123450,0,10,26,239,167,35,19,4,1,0
OTHERPIES,237,Dessert,Launch,LG,1,123450,0,11,0,266,65,34,12,1.9,1.2,0
ICECREAM,210,Dessert,Launch,LG,1,123450,0,12,44,80,199,24,21,3.5,0.1,0
PUDDING,120,Dessert,Launch,LG,1,123450,0,3.2,9,98,150,20,12,3.2,0.3,0
SAUCEICECREAM,310,Dessert,Launch,LG,1,123450,0,23,44,100,199,43,40,3,0.1,0
POPSICLES,79,Dessert,Launch,LG,1,123450,0,0.2,0,7,15,19,14,0,0.5,0
CHOCOLATECANDY,535,Dessert,Launch/dinner,G,1,2345,0,30,23,79,372,59,52,8,2.4,0
OTHERCANDIES,394,Dessert,Launch,LG,1,123450,0,20,20,38,5,98,63,0,0.5,0
MARGARINE,717,Other,Launch,G,1,2345,0,81,0,2,18,0.7,0,0.2,0.1,1
BUTTER,717,Other,Launch,G,1,2345,0,81,215,11,24,0.1,0.1,0.9,0,1
MAYO,94,Other,Launch,G,1,2345,0,10,5.8,88,2.8,0.1,0.1,0.1,0.1,1
SALSA,36,Other,Launch,LG,1,123450,0,0.2,0,430,270,7,1.4,1.5,2.2,1
BARBECUESAUCE,172,Other,Launch,G,1,2345,0,0.6,0,1027,232,41,33,0.8,0.6,0
OTHERRICHSAUCES,50,Other,Launch,G,1,2345,0,0.6,0,1027,232,41,33,0.8,0.6,0
JAM,278,Other,Breakfast/Dinner,G,1,2345,0,0.1,0,32,77,69,49,0.4,0.5,0
PICKLES,10,Vegeitables,Launch,LG,1,123450,0,0.2,0,1208,23,2.3,1.1,0.3,0.4,1
SALT,0,Other,Launch,G,1,2345,0,0,0,38758,8,0,0,0,0.3,1
COCOA,227,Other,Launch,G,1,2345,0,14,0,21,1524,58,1.8,20,14,0
MILK,42,Dairy,Breakfast/Dinner,LG,1,123450,0,1,5,44,150,5,5,3.4,0,1
MEALREPLACEMENTDRINKS,58,Other,Dinner,G,1,2345,0,9,5,170,670,6,0.6,20,2.7,1
TOMATOJUICE,17,Other,Launch/Dinner,LG,1,123450,0,0.1,0,10,229,4.2,3.6,0.8,0.3,1
ORANGEJUICE,45,Other,Breakfast/Launch/Dinner,LG,1,123450,0,0.2,0,1,200,10,8,0.7,0.2,1
OTHERFRUITJUICES,54,Other,Launch,LG,1,123450,0,0,0,2,42,13,9,0.2,0.1,1
HI-C,120,Other,Launch,G,1,2345,0,0,0,0,0,32,32,0,0,0
SOMEJUICE,104,Other,Launch,G,1,2345,0,0.2,0,4,95,56,22,2.2,1,0
ICEDTEA,35,Other,Launch,LG,1,123450,0,0.1,0,2,15,9,8,0,0,1
SPORTSDRINKS,26,Other,Launch,LG,1,123450,0,0,0,35,10,6,0,0,0.1,1
ENERGYDRINKS,43,Other,Launch,LG,1,123450,0,0,0,39,3,10,10,0.5,0,0
LEMONADE,40,Other,Launch,LG,1,123450,0,0,0,4,15,10,10,0.1,0.2,0
SODA,42,Other,Launch/Dinner,G,1,2345,0,0,0,4,3,11,11,0,0,0
BEER,43,Other,Launch,LG,1,123450,0,0,0,4,27,3.6,0,0.5,0,1
WINE,83,Other,Launch/Dinner,G,1,2345,0,0,0,5,99,2.7,0.8,0.1,0.4,1
COCKTAILS,143,Other,Launch,G,1,2345,0,0.1,0,1.5,37,8.7,8.3,0.2,0.3,0
WATER,0,Other,Breakfast/Launch/Dinner,LG,1,123450,0,0,0,5,0,0,0,0,0,1
COFFEEDRINKS,1,Other,Breakfast,LG,1,123450,0,0,0,2,49,0,0,0.1,0,1
COFFEE,1,Other,Breakfast,LG,1,123450,0,0,0,2,49,0,0,0.1,0,1
HOTTEA,1,Other,Launch,LG,1,123450,0,0,0,0,21,0.3,0,0,0,1
DECAFCOFFEE,4,Other,Launch,LG,1,123450,0,0,0,4,36,0.4,0,0.1,0,1
CREAMINCOFFEE,473,Other,Launch,G,1,2345,0,39,157,236,0,15,15,6,0,0
SUGARINCOFFEE,315,Other,Breakfast/Launch,LG,1,123450,0,0,0,31,772,78,78,1,0,0
CREAMINTEA,399,Other,Launch/Dinner,G,1,2345,0,22,0,5,217,45,45,5,0,0
SUGARINTEA,315,Other,Breakfast/Launch,LG,1,123450,0,0.3,0,5,217,97.6,97.6,0.6,0,0
SODACAFFEINE,42,Other,Launch,G,1,2345,0,0,0,10,1,10.4,10.4,0.1,0,0
CHILIPEPPER,39,Vegeitables,Breakfast,LG,1,123450,0,0.4,0,9,322,9,5,1.9,1,1
CORNFLAKES,357,Other,Breakfast,G,1,2345,0,0.4,0,729,168,84,10,8,29,0
GRAPENUTS,369,Fruit,Breakfast/Dinner,G,1,2345,0,1.8,0,465,400,80,9,11,28,0
OATSQUARES,379,Other,Breakfast,LG,1,123450,0,6.5,0,6,362,68,1,13,29.3,0
OTHERWHOLEGRAINCEREAL,371,Other,Breakfast,LG,1,123450,0,3,0,371,429,81.5,5.7,11.4,13,0
COOKINGFATCORN,210,Other,Launch,LG,1,123450,0,100,0,429,407,41,5.17,5.42,1,0
COOKINGFATPEANUT,884,Other,Launch,G,1,2345,0,100,0,500,600,45,10,10,1,0
COOKINGFATOTHER,124,Other,Launch,LG,1,123450,0,100,0,420,230,40,6,6,1,0
FISHOIL,902,Other,Launch,G,1,12345,0,100,766,0,0,0,0,0,0,1
